Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
insulin isoform 1 [Acomys minous],Acomys minous,174,174,100%,5e-54,83.64,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_084628431.1?report=genbank&log$=prottop&blast_rank=36&RID=677V1VEG014"",""XP_084628431.1"")"
insulin [Alexandromys fortis],Alexandromys fortis,175,175,100%,6e-54,85.45,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049992438.1?report=genbank&log$=prottop&blast_rank=37&RID=677V1VEG014"",""XP_049992438.1"")"
insulin-1 [Mastomys coucha],Mastomys coucha,174,174,100%,6e-54,83.64,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031240877.1?report=genbank&log$=prottop&blast_rank=38&RID=677V1VEG014"",""XP_031240877.1"")"
insulin [Apodemus sylvaticus],Apodemus sylvaticus,174,174,100%,6e-54,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052029588.1?report=genbank&log$=prottop&blast_rank=39&RID=677V1VEG014"",""XP_052029588.1"")"
insulin [Microtus pennsylvanicus],Microtus pennsylvanicus,174,174,100%,7e-54,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_075831044.1?report=genbank&log$=prottop&blast_rank=40&RID=677V1VEG014"",""XP_075831044.1"")"
insulin [Microtus ochrogaster],Microtus ochrogaster,174,174,100%,8e-54,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005351628.2?report=genbank&log$=prottop&blast_rank=41&RID=677V1VEG014"",""XP_005351628.2"")"
insulin [Myodes glareolus],Myodes glareolus,173,173,100%,1e-53,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048314329.1?report=genbank&log$=prottop&blast_rank=42&RID=677V1VEG014"",""XP_048314329.1"")"
insulin [Peromyscus eremicus],Peromyscus eremicus,173,173,100%,2e-53,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059105702.1?report=genbank&log$=prottop&blast_rank=43&RID=677V1VEG014"",""XP_059105702.1"")"
insulin precursor [Oryctolagus cuniculus],Oryctolagus cuniculus,173,173,100%,2e-53,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001353985.1?report=genbank&log$=prottop&blast_rank=44&RID=677V1VEG014"",""NP_001353985.1"")"
insulin-2 preproprotein [Rattus norvegicus],Rattus norvegicus,172,172,100%,3e-53,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_062003.1?report=genbank&log$=prottop&blast_rank=45&RID=677V1VEG014"",""NP_062003.1"")"
insulin [Mesocricetus auratus],Mesocricetus auratus,172,172,100%,3e-53,83.64,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012968060.1?report=genbank&log$=prottop&blast_rank=46&RID=677V1VEG014"",""XP_012968060.1"")"
insulin-2 [Rattus rattus],Rattus rattus,172,172,100%,4e-53,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032747262.1?report=genbank&log$=prottop&blast_rank=47&RID=677V1VEG014"",""XP_032747262.1"")"
insulin [Sapajus apella],Sapajus apella,171,171,100%,6e-53,85.45,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032124369.1?report=genbank&log$=prottop&blast_rank=48&RID=677V1VEG014"",""XP_032124369.1"")"
insulin isoform X2 [Aotus nancymaae],Aotus nancymaae,171,171,100%,6e-53,86.36,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012311615.1?report=genbank&log$=prottop&blast_rank=49&RID=677V1VEG014"",""XP_012311615.1"")"
insulin isoform X1 [Aotus nancymaae],Aotus nancymaae,173,173,100%,6e-53,86.36,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_064226392.1?report=genbank&log$=prottop&blast_rank=50&RID=677V1VEG014"",""XP_064226392.1"")"
insulin isoform X1 [Otolemur garnettii],Otolemur garnettii,171,171,100%,8e-53,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003798420.1?report=genbank&log$=prottop&blast_rank=51&RID=677V1VEG014"",""XP_003798420.1"")"
insulin-2 isoform X3 [Mastomys coucha],Mastomys coucha,171,171,100%,9e-53,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031244810.1?report=genbank&log$=prottop&blast_rank=52&RID=677V1VEG014"",""XP_031244810.1"")"
insulin-2 isoform X1 [Rattus norvegicus],Rattus norvegicus,171,171,100%,9e-53,82.73,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063136821.1?report=genbank&log$=prottop&blast_rank=53&RID=677V1VEG014"",""XP_063136821.1"")"
insulin-1 preproprotein [Rattus norvegicus],Rattus norvegicus,171,171,100%,1e-52,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_062002.1?report=genbank&log$=prottop&blast_rank=54&RID=677V1VEG014"",""NP_062002.1"")"
insulin-2 [Mus pahari],Mus pahari,171,171,100%,1e-52,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021060484.1?report=genbank&log$=prottop&blast_rank=55&RID=677V1VEG014"",""XP_021060484.1"")"
insulin-2 [Arvicanthis niloticus],Arvicanthis niloticus,171,171,100%,1e-52,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034379025.1?report=genbank&log$=prottop&blast_rank=56&RID=677V1VEG014"",""XP_034379025.1"")"
insulin [Pteropus alecto],Pteropus alecto,170,170,100%,3e-52,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006911039.1?report=genbank&log$=prottop&blast_rank=57&RID=677V1VEG014"",""XP_006911039.1"")"
insulin [Canis aureus],Canis aureus,170,170,100%,3e-52,88.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_077718997.1?report=genbank&log$=prottop&blast_rank=58&RID=677V1VEG014"",""XP_077718997.1"")"
insulin precursor [Canis lupus familiaris],Canis lupus familiaris,170,170,100%,3e-52,88.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123565.1?report=genbank&log$=prottop&blast_rank=59&RID=677V1VEG014"",""NP_001123565.1"")"
insulin isoform X3 [Nomascus leucogenys],Nomascus leucogenys,169,169,100%,4e-52,87.27,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030667342.1?report=genbank&log$=prottop&blast_rank=60&RID=677V1VEG014"",""XP_030667342.1"")"
insulin-2 preproprotein [Mus musculus],Mus musculus,169,169,100%,5e-52,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001172012.1?report=genbank&log$=prottop&blast_rank=61&RID=677V1VEG014"",""NP_001172012.1"")"
insulin [Eulemur rufifrons],Eulemur rufifrons,169,169,100%,5e-52,87.27,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_069327944.1?report=genbank&log$=prottop&blast_rank=62&RID=677V1VEG014"",""XP_069327944.1"")"
insulin isoform X2 [Vulpes vulpes],Vulpes vulpes,169,169,100%,6e-52,88.18,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_072614830.1?report=genbank&log$=prottop&blast_rank=63&RID=677V1VEG014"",""XP_072614830.1"")"
insulin [Vulpes lagopus],Vulpes lagopus,169,169,100%,9e-52,87.27,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041578098.1?report=genbank&log$=prottop&blast_rank=64&RID=677V1VEG014"",""XP_041578098.1"")"
insulin [Panthera tigris],Panthera tigris,168,168,100%,1e-51,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_042815670.1?report=genbank&log$=prottop&blast_rank=65&RID=677V1VEG014"",""XP_042815670.1"")"
insulin [Hyperoodon ampullatus],Hyperoodon ampullatus,168,168,100%,1e-51,88.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_079565706.1?report=genbank&log$=prottop&blast_rank=66&RID=677V1VEG014"",""XP_079565706.1"")"
insulin-2 [Grammomys surdaster],Grammomys surdaster,168,168,100%,1e-51,80.91,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028642854.1?report=genbank&log$=prottop&blast_rank=67&RID=677V1VEG014"",""XP_028642854.1"")"
insulin isoform X2 [Callithrix jacchus],Callithrix jacchus,168,168,100%,2e-51,85.45,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035119628.1?report=genbank&log$=prottop&blast_rank=68&RID=677V1VEG014"",""XP_035119628.1"")"
insulin [Lemur catta],Lemur catta,168,168,100%,2e-51,90.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045414405.1?report=genbank&log$=prottop&blast_rank=69&RID=677V1VEG014"",""XP_045414405.1"")"
insulin isoform X1 [Callithrix jacchus],Callithrix jacchus,169,169,100%,2e-51,85.45,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035119627.2?report=genbank&log$=prottop&blast_rank=70&RID=677V1VEG014"",""XP_035119627.2"")"
PREDICTED: insulin isoform X3 [Colobus angolensis palliatus],Colobus angolensis palliatus,167,167,100%,2e-51,86.36,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011785466.1?report=genbank&log$=prottop&blast_rank=71&RID=677V1VEG014"",""XP_011785466.1"")"
insulin [Meriones unguiculatus],Meriones unguiculatus,167,167,100%,2e-51,82.73,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021490460.1?report=genbank&log$=prottop&blast_rank=72&RID=677V1VEG014"",""XP_021490460.1"")"
insulin [Balaenoptera musculus],Balaenoptera musculus,167,167,100%,2e-51,88.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036716824.1?report=genbank&log$=prottop&blast_rank=73&RID=677V1VEG014"",""XP_036716824.1"")"
insulin [Lepus europaeus],Lepus europaeus,167,167,100%,3e-51,85.45,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_062051635.1?report=genbank&log$=prottop&blast_rank=74&RID=677V1VEG014"",""XP_062051635.1"")"
insulin-1 [Mus pahari],Mus pahari,167,167,100%,4e-51,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021070669.1?report=genbank&log$=prottop&blast_rank=75&RID=677V1VEG014"",""XP_021070669.1"")"
insulin [Herpailurus yagouaroundi],Herpailurus yagouaroundi,167,167,100%,4e-51,80.91,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040322184.1?report=genbank&log$=prottop&blast_rank=76&RID=677V1VEG014"",""XP_040322184.1"")"
insulin [Panthera pardus],Panthera pardus,167,167,100%,4e-51,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019292555.1?report=genbank&log$=prottop&blast_rank=77&RID=677V1VEG014"",""XP_019292555.1"")"
insulin [Prionailurus bengalensis],Prionailurus bengalensis,167,167,100%,4e-51,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043437955.1?report=genbank&log$=prottop&blast_rank=78&RID=677V1VEG014"",""XP_043437955.1"")"
insulin [Hyaena hyaena],Hyaena hyaena,167,167,100%,5e-51,83.64,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039081000.1?report=genbank&log$=prottop&blast_rank=79&RID=677V1VEG014"",""XP_039081000.1"")"
insulin [Psammomys obesus],Psammomys obesus,167,167,100%,5e-51,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_055470674.1?report=genbank&log$=prottop&blast_rank=80&RID=677V1VEG014"",""XP_055470674.1"")"
insulin-2 isoform X2 [Mastomys coucha],Mastomys coucha,167,167,100%,5e-51,81.08,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031244809.1?report=genbank&log$=prottop&blast_rank=81&RID=677V1VEG014"",""XP_031244809.1"")"
insulin [Arvicanthis niloticus],Arvicanthis niloticus,166,166,100%,6e-51,80.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_076778178.1?report=genbank&log$=prottop&blast_rank=82&RID=677V1VEG014"",""XP_076778178.1"")"
PREDICTED: insulin [Propithecus coquereli],Propithecus coquereli,166,166,100%,7e-51,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012507423.1?report=genbank&log$=prottop&blast_rank=83&RID=677V1VEG014"",""XP_012507423.1"")"
insulin [Hipposideros armiger],Hipposideros armiger,166,166,100%,9e-51,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019522928.1?report=genbank&log$=prottop&blast_rank=84&RID=677V1VEG014"",""XP_019522928.1"")"
insulin-1 [Grammomys surdaster],Grammomys surdaster,166,166,100%,1e-50,80.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028632266.1?report=genbank&log$=prottop&blast_rank=85&RID=677V1VEG014"",""XP_028632266.1"")"
insulin [Leopardus geoffroyi],Leopardus geoffroyi,166,166,100%,1e-50,80.91,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045343176.1?report=genbank&log$=prottop&blast_rank=86&RID=677V1VEG014"",""XP_045343176.1"")"
insulin-1-like [Apodemus sylvaticus],Apodemus sylvaticus,166,166,100%,1e-50,78.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052028151.1?report=genbank&log$=prottop&blast_rank=87&RID=677V1VEG014"",""XP_052028151.1"")"
insulin [Saimiri boliviensis],Saimiri boliviensis,167,167,100%,2e-50,83.64,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010329449.2?report=genbank&log$=prottop&blast_rank=88&RID=677V1VEG014"",""XP_010329449.2"")"
insulin [Balaenoptera physalus],Balaenoptera physalus,165,165,100%,2e-50,87.27,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_082334509.1?report=genbank&log$=prottop&blast_rank=89&RID=677V1VEG014"",""XP_082334509.1"")"
LOW QUALITY PROTEIN: insulin [Eubalaena glacialis],Eubalaena glacialis,169,169,100%,2e-50,88.18,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_061059793.1?report=genbank&log$=prottop&blast_rank=90&RID=677V1VEG014"",""XP_061059793.1"")"
insulin isoform X5 [Theropithecus gelada],Theropithecus gelada,164,164,100%,3e-50,85.45,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025211016.1?report=genbank&log$=prottop&blast_rank=91&RID=677V1VEG014"",""XP_025211016.1"")"
insulin [Balaenoptera borealis],Balaenoptera borealis,164,164,100%,5e-50,87.27,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_082196907.1?report=genbank&log$=prottop&blast_rank=92&RID=677V1VEG014"",""XP_082196907.1"")"
insulin [Miniopterus schreibersii],Miniopterus schreibersii,164,164,100%,6e-50,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_081010374.1?report=genbank&log$=prottop&blast_rank=93&RID=677V1VEG014"",""XP_081010374.1"")"
insulin [Mesoplodon densirostris],Mesoplodon densirostris,163,163,100%,1e-49,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059960577.1?report=genbank&log$=prottop&blast_rank=94&RID=677V1VEG014"",""XP_059960577.1"")"
insulin isoform X3 [Theropithecus gelada],Theropithecus gelada,164,164,100%,1e-49,85.45,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025211012.1?report=genbank&log$=prottop&blast_rank=95&RID=677V1VEG014"",""XP_025211012.1"")"
insulin [Rhinolophus hipposideros],Rhinolophus hipposideros,163,163,100%,1e-49,90.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_080920038.1?report=genbank&log$=prottop&blast_rank=96&RID=677V1VEG014"",""XP_080920038.1"")"
insulin [Castor canadensis],Castor canadensis,163,163,100%,1e-49,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020024407.1?report=genbank&log$=prottop&blast_rank=97&RID=677V1VEG014"",""XP_020024407.1"")"
insulin precursor [Felis catus],Felis catus,163,163,100%,1e-49,80.91,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001009272.1?report=genbank&log$=prottop&blast_rank=98&RID=677V1VEG014"",""NP_001009272.1"")"
insulin [Mesoplodon bidens],Mesoplodon bidens,163,163,100%,1e-49,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_081097169.1?report=genbank&log$=prottop&blast_rank=99&RID=677V1VEG014"",""XP_081097169.1"")"
insulin [Rhinolophus sinicus],Rhinolophus sinicus,163,163,100%,1e-49,89.09,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019569256.1?report=genbank&log$=prottop&blast_rank=100&RID=677V1VEG014"",""XP_019569256.1"")"



		


